date,output,investment,consumption,hours_worked,unemployment,labor_share,interest,inflation,productivity,TFP
1964-07-01,988.2927638570767,1310.9771633088144,1382.2565811031886,1751.8552823020054,5,467.8959535958585,0.864175,0.403,370.3891211734374,17.087500000000006
1964-10-01,988.2927638570767,1310.1803463438966,1382.6449311058284,1752.0154127670924,4.9667,469.2044886971314,0.894175,0.456,369.4911226345655,16.885000000000005
1965-01-01,990.4537001671699,1318.5448217459352,1383.2433356256136,1753.2394391604864,4.9,467.80116421632243,0.993325,0.502,370.9637507198446,16.787500000000005
1965-04-01,991.5416123401402,1318.1175534168453,1384.5279046957878,1753.7019578263344,4.6667,467.73885167507024,1.019175,0.446,371.5570069366981,17.162500000000005
1965-07-01,993.2172186396037,1320.5536196548308,1385.6123762689456,1753.2829723690452,4.3667,466.59830253846036,1.018325,0.396,373.33507817107653,19.127500000000005
1965-10-01,995.2230096524119,1321.798950729117,1387.6181672817538,1754.1376300438628,4.1,465.91374022580334,1.041675,0.676,375.1384659465333,19.840000000000003
1966-01-01,997.413239210546,1327.7349365407413,1388.4153394862933,1754.3133463715214,3.8667,465.94405445193337,1.139175,0.645,376.5261624032742,20.660000000000007
1966-04-01,997.5622150295328,1324.8986160447596,1389.5613325372651,1754.638139464747,3.8333,467.08549249669346,1.228325,0.819,375.91748103325926,20.187500000000007
1966-07-01,997.966124675897,1324.5420657526022,1389.7666323864664,1754.4795324264587,3.7667,467.6038630820532,1.3525,0.968,376.07116243080475,20.317500000000006
1966-10-01,998.5113621416073,1325.0873032183124,1389.9134629506893,1754.3869811671484,3.7,467.1145174911624,1.390825,0.845,376.7528883934197,21.280000000000005
1967-01-01,999.1818891326093,1322.2623287059569,1390.7833918023775,1753.2526078918554,3.8333,467.13323882417603,1.205825,0.415,377.59054143305633,23.235000000000007
1967-04-01,999.0215556045952,1320.9091380914153,1391.2188892327267,1753.521771121628,3.8333,467.78442734775155,0.9975,0.505,378.002186993415,24.370000000000005
1967-07-01,999.6021153939062,1321.88890000768,1391.6012329016385,1753.8387488627382,3.8,467.8680836923866,0.973325,0.952,378.409872069487,23.907500000000006
1967-10-01,1000.1203926042198,1323.2008321775672,1391.7218952739881,1754.3834579153233,3.9,467.91360051814166,1.043325,1.092,378.7660874911336,24.842500000000005
1968-01-01,1001.9224051018725,1326.1816402504242,1393.124705644687,1753.7007174801356,3.7333,467.323996488948,1.196675,1.105,380.9724463806139,26.307500000000005
1968-04-01,1003.3682134193955,1328.7925102899446,1394.3703136951426,1754.7324788075468,3.5667,466.8999080400165,1.495,1.049,381.9271549296595,26.94750000000001
1968-07-01,1003.8149555779524,1327.6828007943905,1395.6154632885218,1754.382824760826,3.5333,467.9117430940174,1.485825,0.98,381.89423384121045,26.72500000000001
1968-10-01,1003.9896052315676,1328.638704421685,1395.7901129421368,1754.4744237578175,3.4,468.6796254868036,1.479175,1.405,381.7206703645991,26.21000000000001
1969-01-01,1005.3242872620965,1332.2811811804684,1396.526587804911,1754.950533409157,3.4,468.07877324466796,1.641675,1.033,382.4851615637151,26.010000000000012
1969-04-01,1005.4146428821241,1331.2242966842723,1397.2151505926934,1755.2558477421858,3.4333,469.36571404442907,2.081675,1.269,381.67668241658737,25.32500000000001
1969-07-01,1005.7581087873527,1331.567762589501,1397.3596114571212,1755.205805422165,3.5667,470.0962067937125,2.245825,1.396,381.7382601274025,25.137500000000006
1969-10-01,1005.0268283744323,1327.71122782617,1398.209391646865,1755.1944520663242,3.5667,471.4221880854271,2.235,1.281,381.3174573385543,25.002500000000005
1970-01-01,1004.6028239318238,1324.470135686892,1398.761004698793,1754.6441778867006,4.1667,471.8802396655183,2.143325,1.399,381.57984076711296,26.060000000000006
1970-04-01,1004.4683249202905,1324.3356366753585,1398.8204921690424,1753.088329054242,4.7667,470.48164061131376,1.97,1.384,383.0943093377404,27.835000000000004
1970-07-01,1005.0138752861822,1324.8811870412503,1399.5596534376205,1752.349653571067,5.1667,470.0780320801414,1.675825,0.816,384.61823034877125,29.207500000000003
1970-10-01,1003.6312445648633,1318.476580622029,1399.9028565392298,1752.0817333870752,5.8333,470.4943120146887,1.391675,1.311,383.75795924050414,29.125
1971-01-01,1005.9679005711038,1329.0483401444512,1399.3463502920697,1751.75066825087,5.9333,468.624313201457,0.964175,1.516,386.62303442544703,30.3525
1971-04-01,1006.2497833920736,1330.898882582191,1399.8237365966197,1751.6692508519511,5.9,468.54774740417673,1.140825,1.309,386.9595556188192,30.4075
1971-07-01,1006.7178295192607,1332.1421263898098,1400.0962792402265,1752.3222032677406,6.0333,468.1028767787336,1.368325,1.01,387.8466221899303,32.5425
1971-10-01,1006.7050936401494,1330.964328788701,1401.057260888901,1753.4074308195954,5.9333,469.20815579773875,1.1875,0.827,387.04924265879737,31.187499999999996
1972-01-01,1008.2428401170605,1335.1997340354324,1401.425403389493,1754.5874971890917,5.7667,469.23198867438816,0.885,1.536,388.44462376579116,31.474999999999998
1972-04-01,1010.2952976495761,1339.5079263103553,1402.8878887092897,1754.99652782876,5.7,467.98322902965134,1.075,0.61,390.46559350825794,32.16
1972-07-01,1010.9525635947399,1340.9059363833053,1404.1351268671724,1755.190558095921,5.5667,468.1455072657375,1.185,0.935,391.00610821146057,32.8175
1972-10-01,1012.3345712858809,1343.0232415049722,1405.3208636415286,1755.8126150640583,5.3667,468.5643570137968,1.285825,1.262,391.82634930176005,33.6525
1973-01-01,1014.5531363350818,1347.4158052178138,1406.552253842814,1756.7362200438608,4.9333,468.3593120999431,1.634175,1.156,394.0377198924674,34.6825
1973-04-01,1015.4557506491177,1349.3879484435245,1406.8578514581995,1757.3755052972786,4.9333,468.5514386669581,1.954175,1.512,394.13099260530385,34.099999999999994
1973-07-01,1014.6629790357027,1346.0815795029553,1407.4526144941465,1757.46867123283,4.8,469.9616356280037,2.64,1.89,393.1570698270515,33.037499999999994
1973-10-01,1015.3467757803897,1347.490017099719,1407.5441094085213,1757.97769741988,4.7667,470.26598072653485,2.499175,1.969,392.50774245018556,33.342499999999994
1974-01-01,1014.3094829881003,1342.023956287318,1408.2733002342122,1757.5645514829287,5.1333,470.508791652723,2.330825,1.884,392.3042071910579,32.544999999999995
1974-04-01,1014.356688055654,1342.4478096344194,1408.7088553044057,1757.2258054796837,5.2,469.75579177799636,2.8125,2.35,392.0407754962539,33.2275
1974-07-01,1013.1300186698601,1338.9396724720082,1408.6382681587193,1756.7872097893414,5.6333,470.6986428122396,3.0225,2.858,390.9740402270594,31.787499999999998
1974-10-01,1012.4709258287639,1336.338771045202,1407.5952976869066,1754.7968348935215,6.6,469.5431276932832,2.336675,2.902,391.8561582267729,33.0775
1975-01-01,1011.0542371500752,1325.4694650173017,1407.8945710365008,1752.6627585180297,8.2667,468.53113503530705,1.575825,2.241,392.6458313224402,35.5
1975-04-01,1011.5812796414458,1325.1307012343607,1408.7989724662352,1752.5500601858869,8.8667,467.4901451461759,1.355,1.486,394.301766953037,36.79
1975-07-01,1012.9227729697604,1331.1439570194214,1409.384318524492,1753.4604843080601,8.4667,466.55124149942526,1.54,1.765,395.42775733249823,36.222500000000004
1975-10-01,1014.0060524162,1333.0536874508502,1409.8967115488995,1754.1773327506746,8.3,466.6585083689558,1.353325,1.653,395.52357398509645,35.1825
1976-01-01,1016.0220606843893,1340.6711598745067,1411.146432542532,1755.8156695692396,7.7333,465.9421600820007,1.206675,1.034,396.9857857099097,35.2575
1976-04-01,1016.5621021141535,1343.5189960325254,1411.6864739722962,1755.5797611458065,7.5667,465.74589846967456,1.299175,1.011,397.94199374141976,36.1025
1976-07-01,1016.8118476957156,1344.1482487109427,1412.7025068284154,1755.7851572564211,7.7333,466.2438593778484,1.320825,1.281,398.12318535904564,35.9275
1976-10-01,1017.2980195787698,1345.0124928779876,1413.5696315531363,1756.0359237411703,7.7667,466.2193035084,1.218325,1.757,398.44738910863884,36.8825
1977-01-01,1018.2217171089883,1348.9103873280797,1414.3030340687462,1756.7646399735067,7.5,466.05292041083686,1.165,1.596,399.0501413299403,37.4675
1977-04-01,1019.9249395552329,1353.501897189203,1414.8568185724173,1757.9741183303934,7.1333,466.03967349782135,1.289175,1.393,399.47820205959107,37.0675
1977-07-01,1021.3982423053066,1356.7389140878872,1415.7504095540583,1758.2453812655976,6.9,465.6727945401684,1.455,1.224,400.4675110224516,38.57000000000001
1977-10-01,1021.1229572115677,1357.1604959257577,1416.054836228752,1759.3206889445228,6.6667,466.9327384431404,1.628325,2.149,399.17579734469996,37.535000000000004
