horizon,median,pctl_84,pctl_16,variable,model
40,-0.007750572741460973,0.040716079412359635,-0.05507913582414154,labor_share,bayesian_fd
1,-0.06285468028828345,-0.0380102397957927,-0.08561508814139147,interest,bayesian_fd
2,-0.08385298443295175,-0.05966166599880742,-0.10744889089567933,interest,bayesian_fd
3,-0.09474108625474306,-0.07174570734165518,-0.11655229295526945,interest,bayesian_fd
4,-0.0999755581201382,-0.07696083623510866,-0.12409632182848342,interest,bayesian_fd
5,-0.1026880326151653,-0.07877995441255262,-0.1290549899526496,interest,bayesian_fd
6,-0.10164769539943508,-0.0782762096950907,-0.1294533071304699,interest,bayesian_fd
7,-0.0989353514351291,-0.07418860846262519,-0.12702398896722597,interest,bayesian_fd
8,-0.093935866579207,-0.06859031323520524,-0.12328636712354032,interest,bayesian_fd
9,-0.0870093276174438,-0.062003265335231275,-0.1173836522514769,interest,bayesian_fd
10,-0.07966588292175482,-0.05348006634403772,-0.1109805679523018,interest,bayesian_fd
11,-0.07150997284745894,-0.04523371426468657,-0.10432922043189816,interest,bayesian_fd
12,-0.06298462911599845,-0.0372553906150386,-0.09621514884496023,interest,bayesian_fd
13,-0.05453978458775682,-0.029107357187177205,-0.08894334363387775,interest,bayesian_fd
14,-0.04636593544726547,-0.020568307645820495,-0.08151011871071265,interest,bayesian_fd
15,-0.038724169225638816,-0.012772602146745766,-0.0721521489422572,interest,bayesian_fd
16,-0.03233304294694722,-0.005383543943941388,-0.0646315736298189,interest,bayesian_fd
17,-0.025562235500339217,3.26438247419056e-4,-0.05696801102771669,interest,bayesian_fd
18,-0.020107350929098995,0.0059191828756038675,-0.050187659289427006,interest,bayesian_fd
19,-0.01593072107484324,0.009779230774170068,-0.04471501355092277,interest,bayesian_fd
20,-0.012481980155366192,0.013996148973250144,-0.03997285073471519,interest,bayesian_fd
21,-0.00912283596355392,0.01649828343674738,-0.03577758921576032,interest,bayesian_fd
22,-0.005927725074299616,0.01855452905347636,-0.03289778008702114,interest,bayesian_fd
23,-0.003987301769223586,0.01989542988125997,-0.030717488543122163,interest,bayesian_fd
24,-0.0025435249413385307,0.02040842268230752,-0.02904098625828907,interest,bayesian_fd
25,-0.0014190090980494834,0.020730879963615896,-0.027861553147930415,interest,bayesian_fd
26,-0.0012851243971455373,0.020076825264641954,-0.027489908244436936,interest,bayesian_fd
27,-0.0012473669551291032,0.02042237489737838,-0.026505618428292743,interest,bayesian_fd
28,-0.0015971873191415876,0.01908827412285201,-0.02577695039588428,interest,bayesian_fd
29,-0.002605145484095791,0.01785354459170496,-0.025931939630306558,interest,bayesian_fd
30,-0.003522603253694208,0.016684659403678907,-0.02564616548571543,interest,bayesian_fd
31,-0.0045917601099565546,0.015085618281623721,-0.025786714343287324,interest,bayesian_fd
